epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,8239.14,0.71514,0.42463,0.86069,0.7346,0.59547,0.624,0.51904,1.29251,1.25044,1.13086,0.002773,0.002773,0.002773
148,8291.95,0.71253,0.42379,0.86002,0.73086,0.60208,0.62269,0.51858,1.28863,1.25473,1.13205,0.0027235,0.0027235,0.0027235
149,8345,0.70014,0.41752,0.85692,0.74725,0.59222,0.61748,0.51891,1.28811,1.24576,1.13374,0.002674,0.002674,0.002674
150,8397.36,0.69996,0.41568,0.8602,0.72939,0.6045,0.61011,0.51023,1.28347,1.25496,1.13346,0.0026245,0.0026245,0.0026245
151,8450.45,0.70496,0.41593,0.85899,0.71555,0.60034,0.62099,0.52053,1.27961,1.25472,1.13186,0.002575,0.002575,0.002575
152,8503.27,0.69797,0.4152,0.86327,0.73017,0.5953,0.62211,0.52028,1.28441,1.26484,1.13373,0.0025255,0.0025255,0.0025255
153,8556.4,0.6946,0.40988,0.855,0.71688,0.59747,0.62556,0.52383,1.28495,1.27187,1.13392,0.002476,0.002476,0.002476
154,8609.43,0.68928,0.4074,0.85562,0.70112,0.60937,0.62796,0.52918,1.28177,1.26314,1.13226,0.0024265,0.0024265,0.0024265
155,8663.34,0.6866,0.40548,0.86034,0.70885,0.61206,0.62833,0.52688,1.27964,1.25024,1.13176,0.002377,0.002377,0.002377
156,8716.22,0.67897,0.40339,0.85305,0.72818,0.60322,0.62739,0.52784,1.28166,1.26822,1.13492,0.0023275,0.0023275,0.0023275
157,8769.73,0.68206,0.40546,0.85146,0.74449,0.58461,0.62589,0.52934,1.28325,1.26784,1.13815,0.002278,0.002278,0.002278
158,8822.76,0.68111,0.40088,0.85378,0.75915,0.57556,0.62758,0.53081,1.28346,1.26882,1.13976,0.0022285,0.0022285,0.0022285
159,8875.46,0.67337,0.39623,0.85435,0.75926,0.57836,0.62651,0.52545,1.28462,1.25688,1.13928,0.002179,0.002179,0.002179
160,8929.21,0.67339,0.3978,0.85044,0.75946,0.57884,0.63392,0.53208,1.27994,1.2556,1.13748,0.0021295,0.0021295,0.0021295
161,8982.19,0.66427,0.39235,0.84922,0.75575,0.57982,0.63077,0.53144,1.27966,1.26604,1.13758,0.00208,0.00208,0.00208
162,9036.18,0.66403,0.4004,0.85344,0.75842,0.57803,0.62899,0.53043,1.28006,1.26671,1.14006,0.0020305,0.0020305,0.0020305
163,9089.35,0.65993,0.39663,0.85109,0.75935,0.57801,0.6327,0.53194,1.28069,1.25846,1.14036,0.001981,0.001981,0.001981
164,9142.01,0.66142,0.39013,0.85179,0.75876,0.57592,0.62992,0.52798,1.27963,1.26078,1.13961,0.0019315,0.0019315,0.0019315
165,9195.2,0.64364,0.3825,0.84504,0.7228,0.6035,0.63338,0.53361,1.27573,1.26426,1.13825,0.001882,0.001882,0.001882
166,9249.16,0.64616,0.38315,0.84544,0.73851,0.59608,0.63544,0.53686,1.27419,1.26373,1.13933,0.0018325,0.0018325,0.0018325
167,9303.65,0.64328,0.38409,0.84631,0.73005,0.60613,0.63398,0.53223,1.27099,1.27131,1.13778,0.001783,0.001783,0.001783
168,9357.43,0.63737,0.3807,0.84429,0.7539,0.58392,0.62928,0.52893,1.2685,1.27287,1.13761,0.0017335,0.0017335,0.0017335
169,9411.29,0.63669,0.37407,0.84645,0.75499,0.5832,0.63139,0.53315,1.26781,1.27725,1.13852,0.001684,0.001684,0.001684
170,9463.71,0.62538,0.36747,0.84407,0.75576,0.58437,0.6373,0.53883,1.26648,1.2691,1.13933,0.0016345,0.0016345,0.0016345
171,9518.05,0.62447,0.36777,0.84235,0.76357,0.58084,0.63427,0.54064,1.26716,1.27925,1.13926,0.001585,0.001585,0.001585
172,9571.88,0.62621,0.36937,0.84152,0.75336,0.58541,0.63881,0.54882,1.26476,1.27788,1.13854,0.0015355,0.0015355,0.0015355
173,9624.99,0.62805,0.37282,0.84518,0.76901,0.58156,0.63325,0.53867,1.26264,1.28036,1.13774,0.001486,0.001486,0.001486
174,9677.99,0.62128,0.36805,0.84211,0.76925,0.58401,0.63433,0.54187,1.26042,1.27941,1.13837,0.0014365,0.0014365,0.0014365
175,9731.34,0.62487,0.36808,0.84093,0.77349,0.58313,0.63403,0.53995,1.26141,1.28395,1.13902,0.001387,0.001387,0.001387
176,9783.88,0.62524,0.368,0.84095,0.77569,0.58285,0.63603,0.5414,1.26111,1.2884,1.13952,0.0013375,0.0013375,0.0013375
177,9837.32,0.61948,0.36343,0.84128,0.77465,0.58282,0.63678,0.54389,1.25991,1.29016,1.13935,0.001288,0.001288,0.001288
178,9890.47,0.61539,0.36556,0.83877,0.77454,0.58321,0.63842,0.54397,1.25876,1.29016,1.14007,0.0012385,0.0012385,0.0012385
179,9942.88,0.60329,0.35933,0.83669,0.77597,0.58755,0.64153,0.54984,1.25897,1.29812,1.14077,0.001189,0.001189,0.001189
180,9996.92,0.5981,0.35497,0.83709,0.77737,0.58947,0.63635,0.54524,1.25785,1.29228,1.14217,0.0011395,0.0011395,0.0011395
181,10050.3,0.60418,0.35919,0.83764,0.77805,0.58927,0.63599,0.54645,1.25681,1.28584,1.14342,0.00109,0.00109,0.00109
182,10103.7,0.5932,0.35372,0.83511,0.77918,0.58735,0.63536,0.54724,1.25592,1.28279,1.14416,0.0010405,0.0010405,0.0010405
183,10156.9,0.59429,0.35649,0.83872,0.77892,0.58385,0.6378,0.54636,1.25625,1.27984,1.14453,0.000991,0.000991,0.000991
184,10209.7,0.59508,0.35133,0.8345,0.77504,0.58738,0.63774,0.55018,1.25644,1.28617,1.14523,0.0009415,0.0009415,0.0009415
185,10263.1,0.58226,0.34619,0.83191,0.77432,0.58659,0.63721,0.54991,1.25479,1.28424,1.14561,0.000892,0.000892,0.000892
186,10316.4,0.58395,0.34601,0.8344,0.77437,0.58652,0.63727,0.54955,1.25317,1.28183,1.14537,0.0008425,0.0008425,0.0008425
