epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,5514.69,0.95601,0.57336,0.92976,0.52924,0.30996,0.32754,0.20944,1.48426,1.30553,1.17247,0.0050005,0.0050005,0.0050005
103,5567.82,0.94738,0.562,0.92861,0.51339,0.31029,0.33579,0.21857,1.48303,1.30614,1.17102,0.004951,0.004951,0.004951
104,5621.69,0.94785,0.56044,0.92604,0.49938,0.32588,0.33953,0.22097,1.48508,1.30361,1.17632,0.0049015,0.0049015,0.0049015
105,5675.48,0.9469,0.5654,0.92822,0.55458,0.30435,0.33663,0.21531,1.4864,1.29816,1.17673,0.004852,0.004852,0.004852
106,5729.2,0.93747,0.55152,0.92328,0.57957,0.30688,0.33718,0.21536,1.48385,1.30907,1.17477,0.0048025,0.0048025,0.0048025
107,5782.25,0.93738,0.55305,0.92437,0.57591,0.3008,0.3355,0.21566,1.48244,1.32776,1.17351,0.004753,0.004753,0.004753
108,5835.22,0.92615,0.547,0.92102,0.48455,0.33882,0.34848,0.22757,1.48269,1.32357,1.17447,0.0047035,0.0047035,0.0047035
109,5890.86,0.91458,0.54128,0.91463,0.46138,0.34558,0.33649,0.21757,1.48938,1.33056,1.17817,0.004654,0.004654,0.004654
110,5943.99,0.91206,0.5414,0.9183,0.40927,0.35508,0.33354,0.21154,1.4883,1.34491,1.17999,0.0046045,0.0046045,0.0046045
111,5997.11,0.91186,0.53566,0.91409,0.42964,0.35213,0.33786,0.21509,1.49108,1.34449,1.18089,0.004555,0.004555,0.004555
112,6050.37,0.90852,0.53206,0.91465,0.4269,0.35435,0.33569,0.21301,1.4876,1.3506,1.17755,0.0045055,0.0045055,0.0045055
113,6103.96,0.90399,0.53023,0.91623,0.45758,0.34674,0.33284,0.2154,1.48932,1.34646,1.18041,0.004456,0.004456,0.004456
114,6157.39,0.89084,0.5209,0.91215,0.49993,0.34266,0.33913,0.21819,1.48915,1.34494,1.18133,0.0044065,0.0044065,0.0044065
115,6210.43,0.89732,0.52396,0.91502,0.49935,0.34348,0.34213,0.2193,1.48914,1.34776,1.18144,0.004357,0.004357,0.004357
116,6263.74,0.88177,0.51949,0.90934,0.48286,0.3598,0.341,0.21925,1.49477,1.34871,1.18325,0.0043075,0.0043075,0.0043075
117,6316.72,0.88958,0.52161,0.91268,0.46889,0.34487,0.33796,0.21641,1.49902,1.35209,1.1854,0.004258,0.004258,0.004258
118,6370.38,0.87871,0.5108,0.90891,0.515,0.34078,0.33617,0.21337,1.49693,1.33974,1.1826,0.0042085,0.0042085,0.0042085
119,6423.39,0.87948,0.51229,0.91022,0.47169,0.33968,0.33054,0.2104,1.49858,1.34301,1.18778,0.004159,0.004159,0.004159
120,6476.8,0.87125,0.50924,0.90766,0.47207,0.32622,0.32041,0.20561,1.49388,1.33348,1.18666,0.0041095,0.0041095,0.0041095
121,6530.74,0.86509,0.50366,0.90295,0.49718,0.32274,0.32278,0.20869,1.49485,1.33779,1.18782,0.00406,0.00406,0.00406
122,6583.96,0.86379,0.49787,0.90463,0.48501,0.33534,0.33252,0.21199,1.49249,1.3363,1.18786,0.0040105,0.0040105,0.0040105
123,6637.6,0.85657,0.50206,0.90299,0.47721,0.34174,0.33981,0.21736,1.49265,1.34055,1.18817,0.003961,0.003961,0.003961
124,6691.34,0.85218,0.49676,0.89896,0.50793,0.32362,0.33761,0.21763,1.49515,1.34986,1.18879,0.0039115,0.0039115,0.0039115
125,6744.38,0.85121,0.49498,0.90016,0.43807,0.35365,0.33519,0.21804,1.49811,1.35834,1.19015,0.003862,0.003862,0.003862
126,6797.97,0.84243,0.48896,0.89731,0.43004,0.36029,0.33527,0.21864,1.5021,1.37424,1.19367,0.0038125,0.0038125,0.0038125
127,6851.31,0.84207,0.48841,0.89713,0.46806,0.34597,0.33502,0.22036,1.49841,1.37119,1.19334,0.003763,0.003763,0.003763
128,6905.04,0.83716,0.48412,0.89683,0.42587,0.36402,0.32874,0.21527,1.49642,1.36706,1.19416,0.0037135,0.0037135,0.0037135
129,6958.42,0.83319,0.48273,0.89717,0.44562,0.35149,0.33082,0.21614,1.49715,1.36495,1.1932,0.003664,0.003664,0.003664
130,7011.43,0.83211,0.48121,0.89418,0.48845,0.33408,0.33196,0.2154,1.49624,1.36796,1.19442,0.0036145,0.0036145,0.0036145
131,7065.09,0.81913,0.47279,0.8933,0.46773,0.3577,0.33753,0.21844,1.50084,1.3805,1.19553,0.003565,0.003565,0.003565
132,7118.42,0.81351,0.46791,0.88942,0.44903,0.34731,0.33944,0.21824,1.50032,1.38244,1.19662,0.0035155,0.0035155,0.0035155
133,7171.91,0.81744,0.46982,0.8915,0.4429,0.35177,0.33424,0.21468,1.50142,1.38108,1.19998,0.003466,0.003466,0.003466
134,7225.16,0.8131,0.47069,0.89232,0.4513,0.35648,0.33516,0.21499,1.50112,1.38257,1.19925,0.0034165,0.0034165,0.0034165
135,7278.33,0.80865,0.46703,0.88581,0.43877,0.35225,0.33412,0.21549,1.49942,1.38424,1.19901,0.003367,0.003367,0.003367
136,7332.14,0.80105,0.45696,0.88806,0.47349,0.33374,0.33416,0.21761,1.49761,1.38801,1.19626,0.0033175,0.0033175,0.0033175
137,7385.41,0.79161,0.45506,0.88458,0.50846,0.32297,0.33307,0.2178,1.49721,1.39654,1.19815,0.003268,0.003268,0.003268
138,7439.22,0.79838,0.45974,0.88397,0.50923,0.32658,0.33226,0.21708,1.49632,1.39828,1.19631,0.0032185,0.0032185,0.0032185
139,7492.63,0.78867,0.45649,0.88193,0.46274,0.34278,0.33264,0.21763,1.49385,1.39583,1.19573,0.003169,0.003169,0.003169
140,7545.96,0.78789,0.44997,0.88319,0.43447,0.34824,0.33214,0.21687,1.49355,1.39847,1.19599,0.0031195,0.0031195,0.0031195
141,7599.87,0.78027,0.44579,0.88083,0.42938,0.34015,0.33172,0.21707,1.49289,1.40121,1.19616,0.00307,0.00307,0.00307
142,7653.37,0.77518,0.44204,0.87784,0.43584,0.34199,0.3337,0.21784,1.4923,1.41155,1.19672,0.0030205,0.0030205,0.0030205
143,7707.48,0.77204,0.44575,0.8799,0.45308,0.34007,0.33352,0.2197,1.49049,1.41691,1.19771,0.002971,0.002971,0.002971
144,7760.78,0.77698,0.44168,0.87916,0.47468,0.3355,0.32854,0.21787,1.49361,1.41839,1.19998,0.0029215,0.0029215,0.0029215
145,7814.26,0.77546,0.44085,0.87904,0.4483,0.3459,0.32991,0.21528,1.49299,1.42346,1.20026,0.002872,0.002872,0.002872
146,7868.39,0.77007,0.43498,0.87888,0.45857,0.34314,0.32691,0.21282,1.49258,1.42759,1.20055,0.0028225,0.0028225,0.0028225
147,7921.75,0.75988,0.43472,0.87483,0.45851,0.34097,0.33148,0.21316,1.49364,1.43483,1.2019,0.002773,0.002773,0.002773
148,7975.58,0.75233,0.42994,0.87669,0.46189,0.34141,0.33078,0.21354,1.49326,1.43798,1.20268,0.0027235,0.0027235,0.0027235
